text,intent,sentiment_label
Can you tell me if your website is available in the EU region?,product_info,neutral
I'm getting an error 500 on the checkout page and it's been broken for two days.,technical_support,negative
How do I reset my two-factor authentication for your website?,technical_support,neutral
I've been trying to verify my email for the checkout page for a week now with no luck.,account_login,negative
"I can't log into my account and the password reset link never arrives, very annoying.",account_login,negative
"your website has been running smoothly since the last update, nice work.",technical_support,positive
"Just wanted to say the new pricing on your website is very fair, appreciate it.",billing,positive
Can I change the delivery address for order #98696 after placing it?,shipping_delivery,neutral
"The description for your website doesn't match what I actually received, misleading.",product_info,negative
Does the mobile app support integration with third-party calendars?,product_info,neutral
What's your refund policy for my subscription plan?,cancellation_refund,neutral
Can you tell me how to enable single sign-on for my subscription plan?,account_login,neutral
"The sync feature on my subscription plan lost all my data, I'm furious.",technical_support,negative
"Delivery for the mobile app accessories has been delayed three times now, this is ridiculous.",shipping_delivery,negative
"I was charged twice for my subscription plan and nobody has refunded me yet, this is unacceptable.",billing,negative
Can I change the delivery address for order #65392 after placing it?,shipping_delivery,neutral
The price on the mobile app changed without any warning and now I'm being overcharged.,billing,negative
What are the minimum system requirements for my subscription plan?,technical_support,neutral
"The sync feature on the mobile app lost all my data, I'm furious.",technical_support,negative
"I want to cancel my subscription immediately, the mobile app is not worth the money.",cancellation_refund,negative
"The description for the desktop dashboard doesn't match what I actually received, misleading.",product_info,negative
"None of the specs listed for your website online seem accurate, disappointing.",product_info,negative
"Order #93810 arrived a day early, really impressed with the shipping speed!",shipping_delivery,positive
My account got locked for no reason and I've lost access to order #13905.,account_login,negative
How do I change the email linked to my account?,account_login,neutral
What's your refund policy for my subscription plan?,cancellation_refund,neutral
"the checkout page has more features than I expected for the price, really happy with it.",product_info,positive
"your website has more features than I expected for the price, really happy with it.",product_info,positive
"The bug I reported on your website last week is fixed now, great turnaround!",technical_support,positive
Can I change the delivery address for order #95181 after placing it?,shipping_delivery,neutral
"Nothing loads on the checkout page anymore, I've tried restarting three times.",technical_support,negative
What are the minimum system requirements for the checkout page?,technical_support,neutral
Thanks for sorting out my refund for order #46463 so quickly!,billing,positive
My invoice for order #95181 is completely wrong and support has ignored two emails.,billing,negative
Does the mobile app support integration with third-party calendars?,product_info,neutral
Can you give me a tracking update for order #22280?,shipping_delivery,neutral
What's the difference between the free and paid tiers of your website?,product_info,neutral
My package for order #22280 arrived damaged and support hasn't responded.,shipping_delivery,negative
Is there a student discount available for the checkout page?,product_info,neutral
Does the desktop dashboard support integration with third-party calendars?,product_info,neutral
Where can I download the invoice for the mobile app?,billing,neutral
"Support walked me through the your website issue patiently, really appreciated it.",technical_support,positive
I've been trying to verify my email for the desktop dashboard for a week now with no luck.,account_login,negative
"Refund my order #40495 right now, this is the third time it's arrived broken.",cancellation_refund,negative
"The sync feature on my subscription plan lost all my data, I'm furious.",technical_support,negative
What's the difference between the free and paid tiers of the checkout page?,product_info,neutral
My invoice for order #76237 is completely wrong and support has ignored two emails.,billing,negative
Is there a known issue with the checkout page on Safari?,technical_support,neutral
Is there a known issue with the mobile app on Safari?,technical_support,neutral
"the mobile app has been running smoothly since the last update, nice work.",technical_support,positive
I want to merge two accounts I accidentally created.,account_login,neutral
Can I pause my subscription instead of cancelling it outright?,cancellation_refund,neutral
How do I reset my two-factor authentication for the desktop dashboard?,technical_support,neutral
Is there a known issue with the desktop dashboard on Safari?,technical_support,neutral
"My refund for order #46048 landed in my account today, thanks for the quick handling.",cancellation_refund,positive
The price on the mobile app changed without any warning and now I'm being overcharged.,billing,negative
"I want to cancel my subscription immediately, my subscription plan is not worth the money.",cancellation_refund,negative
Thanks for sorting out my refund for order #13478 so quickly!,billing,positive
"the mobile app has more features than I expected for the price, really happy with it.",product_info,positive
I'm getting an error 500 on your website and it's been broken for two days.,technical_support,negative
"The bug I reported on the checkout page last week is fixed now, great turnaround!",technical_support,positive
What are the minimum system requirements for your website?,technical_support,neutral
Is there a student discount available for your website?,product_info,neutral
